"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"sich",0,0,0,0,0.63,0.63,2.2597856203672,2.2597856203672,0.585,0.585,0.63,0.63,1.04832,1.04832,1.67832,1.67832
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"auf",-2,-2,1.439,1.439,0.33,0.33,-14.832582100302,-14.832582100302,3.839,3.839,0.75438,0.75438,1.08075,1.08075,1.83513,1.83513
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"dieses",2,-1,2.74,2.677,0.74,0.425,17.4093870382015,8.77334887988275,4.505,2.2705,2.11196,1.215645,2.56114,1.338375,4.6731,2.55402
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"thema",-2,-6,5.025,3.162,1.41,1.14,0.381220356138996,-1.6724602102026,0.964,0.5315,5.06331,3.48909,1.71738,1.65957,6.66507,5.14866
"1-12-06_SOF-221",1,12,6,"ich",2,2,2.381,2.381,0.23,0.23,35.188100937268,35.188100937268,9.106,9.106,0.63411,0.63411,0.99751,0.99751,1.63162,1.63162
"1-12-06_SOF-221",1,12,6,"kann",1,-0.5,3.125,2.0255,0.92,0.78,113.988136686813,48.0114168991885,29.499,17.074,1.94816,1.86924,5.45652,3.84762,7.24684,5.71686
"1-12-06_SOF-221",1,12,6,"gar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-12-06_SOF-221",1,12,6,"nicht",-8,-8,4.324,4.324,2.02,2.02,-45.261027086693,-45.261027086693,11.713,11.713,6.89426,6.89426,9.42936,9.42936,16.32362,16.32362
"1-12-06_SOF-221",1,12,6,"glauben",17,-1.5,9.901,8.6785,2.4,2.105,72.065093768854,-13.5488698061945,25.663,22.1565,10.6704,9.0276,13.7688,11.67728,24.4392,20.70488
"1-12-06_SOF-221",1,12,6,"dass",0,0,0,0,0.41,0.41,-17.144219840769,-17.144219840769,4.437,4.437,0.41,0.41,1.41163,1.41163,1.82163,1.82163
"1-12-06_SOF-221",1,12,6,"sogar",-1,-1.5,2.041,1.4175,1.23,1.02,-8.370244182883,-16.3894542227005,6.317,4.2415,2.26689,2.18847,4.76133,3.45918,7.02822,5.64765
"1-12-06_SOF-221",1,12,6,"doktor",-1,-2,2.013,1.461,1,0.88,-8.583540696173,-8.9175879540195,2.394,2.3075,2.591,2.03004,2.763,2.40294,5.354,4.43298
"1-12-06_SOF-221",1,12,6,"buhber",0,-1.5,1.724,0.862,1.48,1.39,8.352499310919,-6.336033901445,5.441,3.8015,3.62008,2.46004,5.45676,4.45803,9.07684,6.91807
"1-12-06_SOF-221",1,12,6,"so",2,2,1.047,1.047,0.96,0.96,-4.58756403177,-4.58756403177,1.187,1.187,1.95264,1.95264,2.04384,2.04384,3.99648,3.99648
"1-12-06_SOF-221",1,12,6,"eins",0,0,0,0,0.49,0.35,0.214882287912019,-1.84750458925599,1.012,0.534,0.49,0.35,0.98441,0.6055,1.47441,0.9555
"1-12-06_SOF-221",1,12,6,"hat",-1,-1,0.8,0.8,0.32,0.32,1.32662989774599,1.32662989774599,0.343,0.343,0.59136,0.59136,0.456,0.456,1.04736,1.04736
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"herr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"müller",10,5.66666666666667,7.937,4.51033333333333,2.43,1.81666666666667,48.199594792242,34.4355409990487,12.474,8.91166666666667,8.1952,6.15886333333333,10.98603,7.46528666666667,18.28332,13.62415
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"ist",0,0,0,0,0.68,0.68,0.325352883052005,0.325352883052005,0.084,0.084,0.68,0.68,0.75888,0.75888,1.43888,1.43888
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"der",-6,-6,5.455,5.455,0.86,0.86,-22.218704256964,-22.218704256964,5.75,5.75,3.1734,3.1734,3.2293,3.2293,6.4027,6.4027
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"beliebteste",10,1.25,7.299,3.09675,1.21,0.8175,35.311672926186,9.98613847090999,9.138,5.304,4.90413,2.1707375,4.75893,2.887385,9.66306,5.0581225
"1-13-08_js_1new2txtaccessbl-lawine2_03",1,13,8,"lehrer",-11,-11,6.509,6.1645,2.97,2.32,-23.227228143132,-37.0085214932445,13.144,9.5775,11.1969,8.862465,11.3157,9.68422,22.5126,18.546685
